NAME,Distance,Mass,Radius,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,temp_planet_date,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
Spica,0260,11.43,7.47,HD 95338 b,121,0.13353 jupiters,8.611,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7652/hd-95338-b/,Gas Giant,2020,0.13353 Jupiters,0.347 x Jupiter,0.262 AU,55.1 days,0.2,HD 95338,b,hd 95338 b,Radial Velocity,0,1,55.08700000,0.02000000,-0.02000000,0,0.262000,0.002000,-0.002000,0,0.197000,0.029000,-0.024000,0,89.570,0.090,-0.050,0,0.13353,0.00698,-0.00654,0,Mass,0.347,0.017,-0.018,0,3.98000,0.62000,-0.64000,0,0,0,0,1,10h59m26.30s,164.859604,-56d37m22.9s,-56.623039,36.97,0.02,-0.03,0,37.03,0.07,-0.07,0,8.611,0.013,0,V (Johnson),8.382,,0,5212.00,16.00,-11.00,0,0.83,0.02,-0.02,0,0.87,0.04,-0.04,0,2020-07-23,Las Campanas Observatory
Pollux,0034,1.9,8.8,Kepler-682 b,3102,0.134 jupiters,15.117,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4978/kepler-682-b/,Gas Giant,2016,0.134 Jupiters,0.658 x Jupiter,Unknown,12.6 days,0.0,Kepler-68,c,kepler-68 c,Transit,0,3,9.60510000,,,0,,,,,0.000000,,,0,,,,,0.00642,0.00541,-0.00560,0,Mass,,,,,,,,,0,1,0,1,19h24m07.75s,291.032305,+49d02m25.0s,49.040272,144.77,0.44,-0.44,0,144.77,0.44,-0.44,0,9.990,0.180,0,V (Johnson),9.934,,0,5793.00,74.00,-74.00,0,1.08,0.05,-0.05,0,1.24,0.02,-0.02,0,2019-06-27,Kepler
Fomalhaut,0025,1.9,1.8,Kepler-9 b,2003,0.13655 jupiters,13.781,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1802/kepler-9-b/,Gas Giant,2010,0.13655 Jupiters,0.74 x Jupiter,0.143 AU,19.2 days,0.06,KIC 3558849,b,kic 3558849 b,Transit,0,1,1322.30000000,386.10000000,-11.20000000,0,,,,,,,,,89.973,0.023,-0.031,0,,,,,,0.616,0.089,-0.080,0,,,,,0,1,0,0,19h39m47.96s,294.949847,+38d36m18.7s,38.605197,1258.75,35.41,-35.41,0,1258.75,35.41,-35.41,0,14.218,,0,Kepler-band,14.167,,0,6175.00,168.00,-194.00,0,0.98,0.11,-0.11,0,1.01,0.11,-0.11,0,2016-01-05,Kepler
Deneb,"2,600",19,203,HATS-8 b,2704,0.138 jupiters,14.03,2015,https://exoplanets.nasa.gov/exoplanet-catalog/5208/hats-8-b/,Gas Giant,2015,0.138 Jupiters,0.873 x Jupiter,0.04667 AU,3.6 days,< 0.376,HATS-8,b,hats-8 b,Transit,0,1,3.58389300,0.00001000,-0.00001000,0,0.046670,0.000550,-0.000550,0,0.376000,,,1,87.800,1.200,-1.800,0,0.13800,0.01900,-0.01900,0,Mass,0.873,0.123,-0.075,0,0.25900,0.09100,-0.09100,0,0,0,0,0,19h39m46.02s,294.941746,-25d44m53.9s,-25.748318,829.00,110.00,-48.00,0,812.65,19.67,-19.67,0,14.030,0.100,0,V (Johnson),14.337,,0,5679.00,50.00,-50.00,0,1.06,0.04,-0.04,0,1.09,0.15,-0.06,0,2015-06-17,HATSouth
Mimosa,0350,16,8.4,K2-121 b,556,0.138 jupiters,13.319,2017,https://exoplanets.nasa.gov/exoplanet-catalog/6033/k2-121-b/,Gas Giant,2017,0.138 Jupiters,0.669 x Jupiter,0.0525 AU,5.2 days,0.22,K2-120,b,k2-120 b,Transit,0,1,9.56274200,0.00067500,-0.00067300,0,0.078000,0.003000,-0.003000,0,0.140000,0.168421,-0.105016,0,89.570,0.300,-0.420,0,,,,,,0.179,0.012,-0.011,0,,,,,0,0,1,0,08h48m34.32s,132.142990,+17d11m26.5s,17.190685,289.54,2.33,-2.33,0,289.54,2.33,-2.33,0,14.045,0.020,0,V (Johnson),13.933,,0,4349.90,101.62,-96.12,0,0.69,0.07,-0.07,0,0.67,0.04,-0.03,0,2017-10-05,K2
Regulus,0077,3.8,3.1,K2-11 b,1084,0.14 jupiters,13.386,2015,https://exoplanets.nasa.gov/exoplanet-catalog/406/k2-11-b/,Gas Giant,2015,0.14 Jupiters,0.674 x Jupiter,0.2257 AU,39.9 days,0.0,K2-119,b,k2-119 b,Transit,0,1,7.72728300,0.00126800,-0.00114900,0,0.069800,0.000600,-0.000600,0,,,,,,,,,,,,,,0.226,0.018,-0.018,0,,,,,0,0,1,0,08h48m02.34s,132.009735,+16d54m06.7s,16.901854,369.66,4.16,-4.16,0,369.44,4.38,-4.38,0,14.883,0.040,0,V (Johnson),14.510,,0,4740.00,100.00,-100.00,0,0.76,0.02,-0.02,0,0.71,0.01,-0.01,0,2018-10-26,K2
Adhara,0430,12.5,14,Kepler-326 b,1612,0.14 jupiters,13.679,2014,https://exoplanets.nasa.gov/exoplanet-catalog/5961/kepler-326-b/,Super Earth,2014,0.14 Jupiters,1.52 x Earth,0.032 AU,2.2 days,0.0,Kepler-324,b,kepler-324 b,Transit,0,2,4.38531500,0.00002500,-0.00002500,0,0.050000,,,0,,,,,,,,,,,,,,0.102,0.010,-0.010,0,,,,,0,1,0,1,19h05m53.15s,286.471473,+49d38m56.5s,49.649021,508.94,3.73,-3.73,0,508.94,3.73,-3.73,0,14.122,,0,Kepler-band,14.091,,0,5194.00,100.00,-100.00,0,,,,,0.84,0.07,-0.07,0,2014-05-14,Kepler
Shaula,0700,14.5,8.8,55 Cancri f,41,0.141 jupiters,5.96,2007,https://exoplanets.nasa.gov/exoplanet-catalog/7006/55-cancri-f/,Gas Giant,2007,0.141 Jupiters,0.677 x Jupiter,0.788 AU,262 days,0.31,55 Cnc,f,55 cnc f,Radial Velocity,0,5,262.00000000,0.51000000,-0.51000000,0,0.788000,0.001000,-0.001000,0,0.305000,0.075000,-0.075000,0,90.000,,,0,0.14100,0.01200,-0.01200,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.960,0.010,0,V (Johnson),5.714,,0,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,2014-10-29,Multiple Observatories
Castor,0052,2.8,2.4,K2-87 b,1643,0.141 jupiters,14.134,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3362/k2-87-b/,Gas Giant,2016,0.141 Jupiters,0.678 x Jupiter,0.094 AU,9.7 days,0.0,K2-85,b,k2-85 b,Transit,0,1,0.68453300,0.00001800,-0.00001800,0,0.012630,0.000370,-0.000370,0,,,,,,,,,,,,,,0.090,0.011,-0.011,0,,,,,0,0,1,0,03h57m51.45s,59.464394,+18d27m54.9s,18.465254,97.49,0.38,-0.38,0,97.49,0.38,-0.38,0,12.831,0.470,0,V (Johnson),12.060,,0,4268.00,122.00,-122.00,0,0.57,0.05,-0.05,0,0.51,0.04,-0.04,0,2016-07-18,K2
Gacrux,0088,1.5,84,Kepler-226 c,3289,0.142 jupiters,15.403,2014,https://exoplanets.nasa.gov/exoplanet-catalog/5483/kepler-226-c/,Super Earth,2014,0.142 Jupiters,0.203 x Jupiter,0.058 AU,5.3 days,0.0,Kepler-226,b,kepler-226 b,Transit,0,3,3.94099700,0.00002000,-0.00002000,0,0.047000,,,0,,,,,,,,,,,,,,0.138,0.055,-0.055,0,,,,,0,1,0,1,19h29m30.27s,292.376129,+47d52m51.6s,47.880989,1008.14,27.20,-27.20,0,1008.14,27.20,-27.20,0,15.416,,0,Kepler-band,15.403,,0,5571.00,200.00,-200.00,0,,,,,0.80,0.32,-0.32,0,2014-05-14,Kepler
Bellatrix,0240,8.6,5.8,Kepler-952 b,3807,0.143 jupiters,15.188,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4404/kepler-952-b/,Gas Giant,2016,0.143 Jupiters,0.682 x Jupiter,Unknown,130.4 days,0.0,Kepler-954,b,kepler-954 b,Transit,0,1,16.78176602,0.00001593,-0.00001593,0,,,,,,,,,,,,,,,,,,0.207,0.004,-0.010,0,,,,,0,1,0,1,19h43m26.25s,295.859378,+47d56m22.2s,47.939510,224.00,6.10,-6.43,0,217.16,1.15,-1.15,0,12.971,,0,Kepler-band,12.943,,0,4990.00,61.28,-69.80,0,0.82,0.02,-0.03,0,0.76,0.02,-0.02,0,2016-05-10,Kepler
Elnath,0130,5.0,4.2,K2-280 b,1295,0.144 jupiters,12.536,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6394/k2-280-b/,Gas Giant,2018,0.144 Jupiters,0.684 x Jupiter,0.1488 AU,19.9 days,0.0,K2-28,b,k2-28 b,Transit,0,1,2.26045500,0.00004100,-0.00004100,0,0.021400,0.001300,-0.001300,0,0.000000,,,0,88.900,0.800,-1.200,0,,,,,,0.207,0.021,-0.021,0,,,,,0,0,1,1,22h22m29.85s,335.624390,-07d57m19.3s,-7.955366,63.11,0.32,-0.32,0,63.11,0.32,-0.32,0,16.061,0.067,0,V (Johnson),14.680,,0,3214.00,60.00,-60.00,0,0.26,0.05,-0.05,0,0.29,0.03,-0.03,0,2016-02-25,K2
Miaplacidus,0110,3.5,6.8,Kepler-118 c,1904,0.144 jupiters,14.719,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1443/kepler-118-c/,Gas Giant,2014,0.144 Jupiters,0.685 x Jupiter,0.141 AU,20.2 days,0.0,Kepler-1183,b,kepler-1183 b,Transit,0,1,28.50571890,0.00030310,-0.00030310,0,,,,,,,,,,,,,,,,,,0.252,0.046,-0.027,0,,,,,0,1,0,1,19h28m55.78s,292.232425,+38d53m32.0s,38.892222,1378.00,250.12,-149.30,0,2022.12,173.91,-173.91,0,15.778,,0,Kepler-band,15.830,,0,5765.00,121.54,-176.40,0,1.00,0.06,-0.07,0,0.99,0.18,-0.10,0,2016-05-10,Kepler
Alnilam,"2,000",32,42,Kepler-489 b,1236,0.145 jupiters,14.018,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5612/kepler-489-b/,Gas Giant,2016,0.145 Jupiters,0.689 x Jupiter,Unknown,17.3 days,0.0,Kepler-485,b,kepler-485 b,Transit,0,1,3.24325980,0.00000018,-0.00000018,0,,,,,,,,,,,,,,,,,,1.286,0.302,-0.145,0,,,,,0,1,0,1,19h39m59.12s,294.996313,+50d28m12.2s,50.470066,1173.00,271.34,-140.37,0,1179.47,27.90,-27.90,0,14.952,,0,Kepler-band,14.898,,0,5958.00,105.05,-153.72,0,1.07,0.08,-0.07,0,1.09,0.26,-0.12,0,2016-05-10,Kepler
Gamma Velorum,"01,100",9.0,6,OGLE-2012-BLG-0026L b,13110,0.145 jupiters,,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6114/ogle-2012-blg-0026l-b/,Gas Giant,2012,0.145 Jupiters,0.688 x Jupiter,4.0 AU,7.8 years,0.0,OGLE-2012-BLG-0026L,b,ogle-2012-blg-0026l b,Microlensing,0,2,,,,,4.000000,0.500000,-0.500000,0,,,,,,,,,0.14500,0.00820,-0.00820,0,Mass,,,,,,,,,0,0,0,0,17h34m18.70s,263.577917,-27d08m33.9s,-27.142750,4019.00,380.00,-380.00,0,,,,,,,,,,,,,,,,1.06,0.05,-0.05,0,,,,,2016-07-07,OGLE
Alnair,0101,4.0,3.4,WASP-182 b,1079,0.148 jupiters,11.917,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7471/wasp-182-b/,Gas Giant,2019,0.148 Jupiters,0.85 x Jupiter,0.0451 AU,3.4 days,0.0,WASP-18,c,wasp-18 c,Transit Timing Variations,0,2,2.15580000,0.00640000,-0.00640000,0,0.035000,,,0,0.015000,,,1,,,,,0.17368,0.03870,-0.03870,0,Mass,,,,,,,,,0,0,0,0,01h37m25.03s,24.354311,-45d40m40.4s,-45.677887,123.92,0.37,-0.37,0,123.92,0.37,-0.37,0,9.303,0.018,0,V (Johnson),9.166,,0,6400.00,,,0,1.22,,,0,1.23,,,0,2019-12-05,Transiting Exoplanet Survey Satellite (TESS)
Alioth,0081,2.9,4.2,CoRoTID 223977153 b,1912,0.15 jupiters,13.587,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7334/corotid-223977153-b/,Gas Giant,2017,0.15 Jupiters,0.57 x Jupiter,0.071 AU,6.7 days,0.0,CoRoTID 223977153,b,corotid 223977153 b,Transit,0,1,6.71837000,0.00001000,-0.00001000,0,0.071000,0.001000,-0.001000,0,,,,,89.000,0.500,-0.500,0,0.15000,0.10000,-0.10000,0,Mass,0.570,0.060,-0.050,0,1.10000,1.30000,-0.80000,0,0,0,0,0,06h40m46.84s,100.195183,+09d15m26.8s,9.257431,586.20,10.70,-10.70,0,586.20,10.70,-10.70,0,,,,,13.587,,0,5970.00,100.00,-100.00,0,1.08,0.08,-0.07,0,0.79,0.08,-0.09,0,2017-09-15,CoRoT
Alnitak,01050,33,20,HD 177830 c,205,0.15 jupiters,7.177,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6984/hd-177830-c/,Gas Giant,2010,0.15 Jupiters,0.702 x Jupiter,0.5137 AU,110.9 days,0.3,HD 177830,c,hd 177830 c,Radial Velocity,0,2,110.90000000,0.10000000,-0.10000000,0,0.513700,0.000300,-0.000300,0,0.300000,0.100000,-0.100000,0,,,,,0.15000,0.02000,-0.02000,0,Msini,,,,,,,,,0,0,0,0,19h05m20.77s,286.336548,+25d55m14.4s,25.920660,62.88,0.12,-0.12,0,62.88,0.12,-0.12,0,7.177,0.010,0,V (Johnson),6.887,,0,4901.00,37.00,-37.00,0,1.70,0.28,-0.28,0,3.26,0.12,-0.12,0,2019-01-31,W. M. Keck Observatory
Dubhe,0120,4.25,30,HIP 38594 c,58,0.15228 jupiters,9.77,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7679/hip-38594-c/,Gas Giant,2020,0.15228 Jupiters,0.708 x Jupiter,3.805 AU,9.5 years,0.16,HIP 38594,c,hip 38594 c,Radial Velocity,0,2,3477.76800000,229.00100000,-229.00100000,0,3.805000,0.172000,-0.172000,0,0.160000,0.100000,-0.100000,0,,,,0,0.15228,0.02328,-0.02328,0,Msini,,,,0,,,,0,0,0,0,0,07h54m10.88s,118.545349,-25d18m11.4s,-25.303175,17.80,0.01,-0.01,0,17.80,0.01,-0.01,0,9.770,0.020,0,V (Johnson),9.085,,0,,,,0,0.61,0.02,-0.02,0,,,,0,2020-09-03,Multiple Observatories
Mirfak,0590,8.5,68,Kepler-1656 b,610,0.15291 jupiters,11.64,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6369/kepler-1656-b/,Gas Giant,2018,0.15291 Jupiters,0.448 x Jupiter,0.197 AU,31.6 days,0.84,Kepler-1653,b,kepler-1653 b,Transit,0,1,140.25240000,0.00300000,-0.00300000,0,0.470600,0.009800,-0.004100,0,,,,,89.788,0.010,-0.053,0,,,,,,0.194,0.014,-0.021,0,,,,,0,1,0,0,19h45m49.86s,296.457755,+41d15m57.7s,41.266024,755.00,44.00,-36.00,0,,,,,15.429,,0,Kepler-band,,,,4807.00,100.00,-100.00,0,0.72,0.04,-0.03,0,0.69,0.03,-0.02,0,2017-11-16,Kepler
Wezen,"1,600",17,200,Kepler-297 b,2304,0.153 jupiters,14.192,2014,https://exoplanets.nasa.gov/exoplanet-catalog/5743/kepler-297-b/,Gas Giant,2014,0.153 Jupiters,0.256 x Jupiter,0.217 AU,38.9 days,0.0,Kepler-296,e,kepler-296 e,Transit,0,5,34.14211000,0.00025000,-0.00025000,0,0.169000,0.029000,-0.028000,0,0.330000,,,1,,,,,,,,,,0.136,0.024,-0.022,0,,,,,0,1,0,2,19h06m09.60s,286.540008,+49d26m14.4s,49.437326,226.00,28.00,-18.00,0,,,,,15.921,,0,Kepler-band,15.901,,0,3740.00,130.00,-130.00,0,0.50,0.07,-0.09,0,0.48,0.07,-0.09,0,2015-09-03,Kepler
Sargas,0270,5.7,26,Kepler-279 c,3488,0.155 jupiters,13.585,2013,https://exoplanets.nasa.gov/exoplanet-catalog/5550/kepler-279-c/,Gas Giant,2013,0.155 Jupiters,0.384 x Jupiter,Unknown,35.7 days,0.0,Kepler-278,c,kepler-278 c,Transit,0,2,51.07877500,0.00089000,-0.00089000,0,0.294000,,,0,,,,,,,,,,,,,,0.320,0.038,-0.038,0,,,,,1,1,0,1,19h20m25.73s,290.107193,+38d42m08.0s,38.702235,448.65,6.38,-6.38,0,448.65,6.38,-6.38,0,11.584,,0,Kepler-band,11.530,,0,4991.00,75.00,-75.00,0,,,,,2.94,0.07,-0.07,0,2014-05-14,Kepler
Kaus Australis,0140,3.5,6.8,Kepler-1583 b,1165,0.156 earths,12.841,2016,https://exoplanets.nasa.gov/exoplanet-catalog/2458/kepler-1583-b/,Terrestrial,2016,0.156 Earths,0.6 x Earth,Unknown,9.3 days,0.0,Kepler-1580,b,kepler-1580 b,Transit,0,1,56.64492790,0.00085250,-0.00085250,0,,,,,,,,,,,,,,,,,,0.188,0.027,-0.028,0,,,,,0,1,0,1,19h03m52.49s,285.968722,+41d21m48.8s,41.363559,872.00,119.42,-124.35,0,1031.50,25.64,-25.64,0,12.561,,0,Kepler-band,12.576,,0,6228.00,75.22,-81.47,0,1.47,0.11,-0.11,0,2.15,0.30,-0.30,0,2016-05-10,Kepler
Avior,0630,9.0,130,HD 104067 b,66,0.16 jupiters,7.93,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6726/hd-104067-b/,Gas Giant,2009,0.16 Jupiters,0.729 x Jupiter,0.26 AU,55.8 days,0.0,HD 104067,b,hd 104067 b,Radial Velocity,0,1,55.80600000,0.04900000,-0.04900000,0,0.260000,0.000000,0.000000,0,0.000000,,,0,,,,,0.16000,0.02000,-0.02000,0,Msini,,,,,,,,,0,0,0,0,11h59m10.01s,179.791702,-20d21m13.6s,-20.353781,20.38,0.02,-0.02,0,20.38,0.02,-0.02,0,7.930,,0,V (Johnson),7.620,,0,4937.00,25.00,-25.00,0,0.62,0.13,-0.13,0,0.74,0.02,-0.02,0,2018-09-06,La Silla Observatory
Alkaid,0104,6.1,3.4,K2-281 b,1520,0.16 jupiters,15.117,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6395/k2-281-b/,Gas Giant,2018,0.16 Jupiters,0.73 x Jupiter,0.0773 AU,8.7 days,0.0,K2-280,b,k2-280 b,Transit,0,1,19.89520200,0.00077400,-0.00075300,0,0.148800,0.001900,-0.002000,0,,,,,,,,,,,,,,0.684,0.023,-0.023,0,,,,,0,0,1,0,19h26m22.88s,291.595337,-22d14m51.6s,-22.247662,396.90,7.31,-7.31,0,395.78,7.46,-7.46,0,12.536,0.040,0,V (Johnson),12.360,,0,5742.00,90.00,-90.00,0,1.11,0.04,-0.04,0,1.28,0.03,-0.03,0,2018-10-26,K2
Menkalinan,081,2.39,2.77,Kepler-101 b,3110,0.16 jupiters,13.8,2014,https://exoplanets.nasa.gov/exoplanet-catalog/5839/kepler-101-b/,Gas Giant,2014,0.16 Jupiters,0.51 x Jupiter,0.0474 AU,3.5 days,0.09,Kepler-1016,c,kepler-1016 c,Transit,0,2,105.65513690,0.00054520,-0.00054520,0,,,,,,,,,,,,,,,,,,0.328,0.058,-0.033,0,,,,,0,1,0,1,19h38m27.27s,294.613645,+45d59m04.6s,45.984623,1239.00,210.99,-141.40,0,1460.10,63.54,-63.54,0,15.356,,0,Kepler-band,15.319,,0,5821.00,177.41,-169.89,0,0.99,0.08,-0.07,0,1.00,0.17,-0.10,0,2016-05-10,Kepler
Atria,0390,7,92,Kepler-108 c,2378,0.16 jupiters,13.084,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1413/kepler-108-c/,Gas Giant,2014,0.16 Jupiters,0.73 x Jupiter,0.721 AU,190.3 days,0.04,Kepler-1087,b,kepler-1087 b,Transit,0,1,0.69384285,0.00000159,-0.00000159,0,,,,,,,,,,,,,,,,,,0.054,0.015,-0.004,0,,,,,0,1,0,1,19h39m54.92s,294.978825,+46d00m20.4s,46.005653,354.00,96.95,-30.96,0,366.42,3.52,-3.52,0,12.953,,0,Kepler-band,12.901,,0,5589.00,122.90,-191.41,0,0.96,0.07,-0.06,0,0.94,0.26,-0.07,0,2016-05-10,Kepler
Alhena,0109,2.8,3.3,MOA-2009-BLG-319L b,19898,0.16 jupiters,,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6100/moa-2009-blg-319l-b/,Gas Giant,2010,0.16 Jupiters,0.722 x Jupiter,2.4 AU,6 years,0.0,MOA-2009-BLG-319L,b,moa-2009-blg-319l b,Microlensing,0,1,,,,,2.400000,1.200000,-0.600000,0,,,,,,,,,0.16000,0.14000,-0.08000,0,Mass,,,,,,,,,0,0,0,0,18h06m58.13s,271.742208,-26d49m10.9s,-26.819692,6100.00,1100.00,-1200.00,0,,,,,,,,,,,,,,,,0.38,0.34,-0.18,0,,,,,2014-10-29,MOA
Peacock,0180,5.9,4.8,Kepler-703 b,4834,0.161 jupiters,15.253,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4999/kepler-703-b/,Gas Giant,2016,0.161 Jupiters,0.732 x Jupiter,Unknown,4.6 days,0.0,Kepler-702,b,kepler-702 b,Transit,0,1,10.52629406,0.00000190,-0.00000190,0,,,,,,,,,,,,,,,,,,0.818,0.075,-0.052,0,,,,,0,1,0,1,19h35m30.75s,293.878112,+41d39m42.4s,41.661770,892.00,87.19,-60.27,0,1020.26,30.61,-30.61,0,15.305,,0,Kepler-band,15.310,,0,5419.00,122.25,-143.80,0,0.90,0.05,-0.05,0,0.86,0.08,-0.05,0,2016-05-10,Kepler
Alsephina[2],0080,2.4,2.9,HD 27894 c,143,0.162 jupiters,9.349,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7217/hd-27894-c/,Gas Giant,2017,0.162 Jupiters,0.735 x Jupiter,0.198 AU,36.1 days,0.02,HD 27894,c,hd 27894 c,Radial Velocity,0,3,36.07000000,0.26000000,-0.09000000,0,0.198000,0.001000,-0.001000,0,0.015000,0.020000,-0.002000,0,,,,,0.16200,0.01100,-0.04000,0,Msini,,,,,,,,,0,0,0,0,04h20m47.05s,65.196030,-59d24m39.0s,-59.410835,43.88,0.06,-0.06,0,43.88,0.06,-0.06,0,9.349,0.021,0,V (Johnson),9.066,,0,,,,,0.80,,,0,,,,,2017-06-15,La Silla Observatory
Mirzam,0500,13.5,10,Kepler-1087 b,1155,0.165 earths,12.901,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3128/kepler-1087-b/,Terrestrial,2016,0.165 Earths,0.61 x Earth,Unknown,0.7 days,0.0,Kepler-1085,b,kepler-1085 b,Transit,0,2,219.32175280,0.00089460,-0.00089460,0,,,,,,,,,,,,,,,,,,0.644,0.158,-0.066,0,,,,,0,1,0,1,19h09m54.64s,287.477648,+46d08m28.3s,46.141186,1518.00,411.02,-156.98,0,1420.20,47.14,-47.14,0,15.273,,0,Kepler-band,15.247,,0,6000.00,83.83,-89.90,0,1.11,0.09,-0.06,0,1.14,0.31,-0.11,0,2016-05-10,Kepler
Polaris,0430,5.4,39,Kepler-855 b,3402,0.166 jupiters,15.019,2016,https://exoplanets.nasa.gov/exoplanet-catalog/3191/kepler-855-b/,Gas Giant,2016,0.166 Jupiters,0.745 x Jupiter,Unknown,7.9 days,0.0,Kepler-850,b,kepler-850 b,Transit,0,1,7.19303878,0.00003818,-0.00003818,0,,,,,,,,,,,,,,,,,,0.159,0.042,-0.019,0,,,,,0,1,0,1,19h32m20.27s,293.084462,+48d34m31.4s,48.575390,1535.00,399.36,-175.69,0,1744.20,95.21,-95.21,0,15.451,,0,Kepler-band,15.427,,0,5932.00,89.30,-95.55,0,1.06,0.07,-0.06,0,1.09,0.29,-0.12,0,2016-05-10,Kepler
Alphard,0180,3.0,50,K2-127 b,2362,0.167 jupiters,15.037,2017,https://exoplanets.nasa.gov/exoplanet-catalog/6044/k2-127-b/,Gas Giant,2017,0.167 Jupiters,0.747 x Jupiter,0.0411 AU,3.6 days,0.12,K2-126,b,k2-126 b,Transit,0,1,7.38565500,0.00050100,-0.00050900,0,0.065600,0.000400,-0.000400,0,,,,,,,,,,,,,,0.176,0.011,-0.011,0,,,,,0,0,1,0,13h34m11.17s,203.546539,-13d34m36.9s,-13.576928,103.29,0.75,-0.75,0,103.25,0.77,-0.77,0,12.918,0.030,0,V (Johnson),12.401,,0,4339.00,92.00,-92.00,0,0.69,0.01,-0.01,0,0.65,0.01,-0.01,0,2018-10-26,K2
Scheat,0196,2.1,95,OGLE-2012-BLG-0838L b,20616,0.167 jupiters,,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7634/ogle-2012-blg-0838l-b/,Gas Giant,2020,0.167 Jupiters,0.748 x Jupiter,4.43 AU,14.8 years,0.0,OGLE-2012-BLG-0838L,b,ogle-2012-blg-0838l b,Microlensing,0,1,,,,0,4.430000,0.710000,-0.810000,0,,,,0,,,,0,0.16700,0.12100,-0.83000,0,Mass,,,,0,,,,0,0,0,0,0,18h12m00.74s,273.003083,-25d42m41.8s,-25.711611,6320.00,830.00,-1040.00,0,,,,,,,,,,,,,,,0,0.40,0.29,-0.20,0,,,,0,2020-06-24,OGLE
Almaaz,0653,15,140,HD 34445 c,151,0.168 jupiters,7.328,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7335/hd-34445-c/,Gas Giant,2017,0.168 Jupiters,0.752 x Jupiter,0.7181 AU,214.7 days,0.04,HD 34445,c,hd 34445 c,Radial Velocity,0,6,214.67000000,0.45000000,-0.45000000,0,0.718100,0.004900,-0.004900,0,0.036000,0.071000,-0.036000,0,,,,,0.16800,0.01600,-0.01600,0,Msini,,,,,,,,,0,0,0,0,05h17m40.98s,79.420746,+07d21m12.0s,7.353343,46.15,0.10,-0.10,0,46.15,0.10,-0.10,0,7.328,0.011,0,V (Johnson),7.149,,0,5879.00,16.00,-16.00,0,1.14,0.09,-0.09,0,1.38,0.02,-0.02,0,2017-10-26,Multiple Observatories
